Name,Regression function,Train Acc,Validation Acc,r2_score,conf_matrix,Cross-Valid.
DTree_firstTry_justdroppedAllThere,,100.0,100.0,1.0,"TN: 330, FP: 0, FN: 0, TP: 380",0.9971639196497554
LogReg_firstTry_justdroppedAllThere,RESULT = 0.00 + 0.00*country_id + 0.00*league_id + 0.00*season + 0.00*stage + -0.05*date + 0.01*match_api_id + -0.00*home_team_api_id + 0.00*away_team_api_id + -0.00*home_team_goal + 0.42*away_team_goal + -0.87*home_player_X1 + 0.00*home_player_X2 + 0.01*home_player_X3 + -0.02*home_player_X4 + -0.01*home_player_X5 + -0.06*home_player_X6 + -0.02*home_player_X7 + 0.05*home_player_X8 + 0.03*home_player_X9 + 0.01*home_player_X10 + 0.02*home_player_X11 + 0.07*away_player_X1 + 0.00*away_player_X2 + -0.00*away_player_X3 + 0.02*away_player_X4 + -0.03*away_player_X5 + 0.06*away_player_X6 + 0.01*away_player_X7 + 0.05*away_player_X8 + 0.11*away_player_X9 + 0.07*away_player_X10 + -0.01*away_player_X11 + -0.05*home_player_Y1 + 0.00*home_player_Y2 + 0.00*home_player_Y3 + 0.00*home_player_Y4 + 0.00*home_player_Y5 + 0.02*home_player_Y6 + 0.00*home_player_Y7 + -0.08*home_player_Y8 + -0.04*home_player_Y9 + -0.01*home_player_Y10 + -0.04*home_player_Y11 + -0.03*away_player_Y1 + 0.00*away_player_Y2 + 0.00*away_player_Y3 + 0.00*away_player_Y4 + 0.00*away_player_Y5 + -0.01*away_player_Y6 + 0.04*away_player_Y7 + -0.05*away_player_Y8 + 0.00*away_player_Y9 + 0.02*away_player_Y10 + 0.02*away_player_Y11 + 0.07*home_player_1 + 0.00*home_player_2 + 0.00*home_player_3 + -0.00*home_player_4 + 0.00*home_player_5 + -0.00*home_player_6 + -0.00*home_player_7 + -0.00*home_player_8 + 0.00*home_player_9 + -0.00*home_player_10 + 0.00*home_player_11 + -0.00*away_player_1 + -0.00*away_player_2 + 0.00*away_player_3 + -0.00*away_player_4 + -0.00*away_player_5 + -0.00*away_player_6 + -0.00*away_player_7 + 0.00*away_player_8 + -0.00*away_player_9 + 0.00*away_player_10 + 0.00*away_player_11 + -0.00*goal + -0.00*shoton + -0.00*shotoff + -0.00*foulcommit + 0.00*card + -0.00*cross + -0.00*corner + -0.00*possession + -0.00*B365H + 0.11*B365D + 0.05*B365A + 0.09*BWH + 0.03*BWD + -0.01*BWA + -0.01*IWH + -0.05*IWD + -0.01*IWA + -0.03*LBH + 0.01*LBD + -0.02*LBA + 0.01*PSH + 0.00*PSD + -0.00*PSA + 0.00*WHH + 0.01*WHD + 0.00*WHA + 0.03*SJH + -0.02*SJD + 0.02*SJA + 0.01*VCH + -0.05*VCD + 0.00*VCA + -0.05*GBH + 0.03*GBD + -0.01*GBA + -0.01*BSH + -0.05*BSD + 0.07*BSA + 0.00*RESULT,100.0,100.0,1.0,"TN: 330, FP: 0, FN: 0, TP: 380",0.8656563868143188
MLPerc_firstTry_justdroppedAllThere,,69.34,48.53,0.06720900266300145,"TN: 212, FP: 71, FN: 48, TP: 290",0.4472685423641514
RandomForest_firstTry_justdroppedAllThere,,99.92,96.6,0.9988652177647968,"TN: 330, FP: 0, FN: 0, TP: 379",0.7560294875096576
xTrees_firstTry_justdroppedAllThere,,100.0,97.28,1.0,"TN: 330, FP: 0, FN: 0, TP: 380",0.6283109065155807
DTree_firstTry_droppedMeaningless,,100.0,100.0,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.4133221310957079
LogReg_firstTry_droppedMeaningless,RESULT = 0.00 + -0.00*league_id + -0.00*season + 0.00*stage + -0.00*date + 0.00*home_team_api_id + 0.00*away_team_api_id + 0.00*home_player_X1 + 0.00*home_player_X2 + -0.01*home_player_X3 + -0.01*home_player_X4 + 0.00*home_player_X5 + -0.01*home_player_X6 + 0.01*home_player_X7 + -0.00*home_player_X8 + 0.01*home_player_X9 + -0.01*home_player_X10 + 0.01*home_player_X11 + 0.02*away_player_X1 + 0.00*away_player_X2 + -0.00*away_player_X3 + -0.00*away_player_X4 + 0.01*away_player_X5 + 0.00*away_player_X6 + 0.01*away_player_X7 + -0.00*away_player_X8 + 0.00*away_player_X9 + 0.01*away_player_X10 + 0.00*away_player_X11 + -0.01*home_player_Y1 + 0.00*home_player_Y2 + 0.00*home_player_Y3 + -0.00*home_player_Y4 + -0.00*home_player_Y5 + 0.00*home_player_Y6 + 0.00*home_player_Y7 + 0.01*home_player_Y8 + -0.00*home_player_Y9 + 0.01*home_player_Y10 + 0.01*home_player_Y11 + 0.00*away_player_Y1 + 0.00*away_player_Y2 + 0.00*away_player_Y3 + 0.00*away_player_Y4 + 0.00*away_player_Y5 + 0.01*away_player_Y6 + 0.01*away_player_Y7 + 0.01*away_player_Y8 + 0.01*away_player_Y9 + -0.00*away_player_Y10 + 0.01*away_player_Y11 + 0.02*home_player_1 + 0.00*home_player_2 + 0.00*home_player_3 + -0.00*home_player_4 + 0.00*home_player_5 + 0.00*home_player_6 + -0.00*home_player_7 + -0.00*home_player_8 + 0.00*home_player_9 + -0.00*home_player_10 + 0.00*home_player_11 + 0.00*away_player_1 + -0.00*away_player_2 + -0.00*away_player_3 + -0.00*away_player_4 + -0.00*away_player_5 + -0.00*away_player_6 + -0.00*away_player_7 + -0.00*away_player_8 + 0.00*away_player_9 + 0.00*away_player_10 + -0.00*away_player_11 + -0.00*B365H + 0.01*B365D + -0.01*B365A + 0.00*BWH + -0.02*BWD + -0.00*BWA + 0.03*IWH + -0.01*IWD + -0.00*IWA + 0.01*LBH + 0.01*LBD + -0.00*LBA + 0.01*PSH + 0.00*PSD + -0.00*PSA + -0.00*WHH + -0.01*WHD + -0.01*WHA + 0.01*SJH + -0.00*SJD + 0.00*SJA + 0.00*VCH + 0.00*VCD + 0.00*VCA + 0.01*GBH + -0.00*GBD + 0.00*GBA + -0.00*BSH + -0.00*BSD + 0.00*BSA + -0.00*RESULT,82.4,81.56,0.7368259494499363,"TN: 3387, FP: 317, FN: 366, TP: 2231",0.5285518044042797
MLPerc_firstTry_droppedMeaningless,,28.98,28.34,-2.028336257123525,"TN: 3498, FP: 203, FN: 3483, TP: 725",0.4508442703441989
RandomForest_firstTry_droppedMeaningless,,99.97,98.22,0.9995922942671572,"TN: 3703, FP: 1, FN: 3, TP: 4231",0.4630133052375883
xTrees_firstTry_droppedMeaningless,,100.0,99.75,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.4639329496299106
DTree_firstTry_droppedMeaningless_StandardScaler,,100.0,100.0,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.4123000804303415
LogReg_firstTry_droppedMeaningless_StandardScaler,RESULT = -5.38 + -0.00*league_id + -0.00*season + -0.01*stage + -0.02*date + -0.02*home_team_api_id + 0.01*away_team_api_id + 0.00*home_player_X1 + 0.00*home_player_X2 + -0.00*home_player_X3 + -0.01*home_player_X4 + -0.00*home_player_X5 + -0.03*home_player_X6 + 0.02*home_player_X7 + 0.01*home_player_X8 + -0.02*home_player_X9 + 0.03*home_player_X10 + 0.02*home_player_X11 + 0.03*away_player_X1 + 0.00*away_player_X2 + -0.01*away_player_X3 + 0.02*away_player_X4 + 0.02*away_player_X5 + 0.02*away_player_X6 + 0.01*away_player_X7 + -0.01*away_player_X8 + -0.00*away_player_X9 + -0.01*away_player_X10 + -0.02*away_player_X11 + 0.02*home_player_Y1 + 0.00*home_player_Y2 + 0.00*home_player_Y3 + 0.02*home_player_Y4 + 0.07*home_player_Y5 + -0.01*home_player_Y6 + 0.02*home_player_Y7 + -0.00*home_player_Y8 + -0.05*home_player_Y9 + 0.04*home_player_Y10 + 0.02*home_player_Y11 + 0.02*away_player_Y1 + 0.00*away_player_Y2 + 0.00*away_player_Y3 + 0.00*away_player_Y4 + 0.04*away_player_Y5 + 0.00*away_player_Y6 + 0.01*away_player_Y7 + 0.01*away_player_Y8 + 0.00*away_player_Y9 + -0.03*away_player_Y10 + 0.02*away_player_Y11 + 0.06*home_player_1 + 0.01*home_player_2 + 0.00*home_player_3 + -0.02*home_player_4 + 0.03*home_player_5 + 0.01*home_player_6 + -0.01*home_player_7 + -0.01*home_player_8 + -0.00*home_player_9 + 0.00*home_player_10 + 0.00*home_player_11 + -0.00*away_player_1 + -0.00*away_player_2 + 0.01*away_player_3 + -0.01*away_player_4 + 0.01*away_player_5 + -0.01*away_player_6 + 0.02*away_player_7 + 0.01*away_player_8 + -0.02*away_player_9 + -0.00*away_player_10 + -0.00*away_player_11 + 0.00*B365H + -0.02*B365D + 0.04*B365A + 0.03*BWH + -0.02*BWD + 0.08*BWA + 0.12*IWH + -0.01*IWD + 0.00*IWA + -0.01*LBH + 0.01*LBD + -0.01*LBA + -0.01*PSH + -0.03*PSD + -0.01*PSA + 0.04*WHH + -0.02*WHD + -0.01*WHA + 0.03*SJH + -0.01*SJD + -0.04*SJA + 0.01*VCH + -0.04*VCD + 0.06*VCA + 0.03*GBH + 0.01*GBD + -0.07*GBA + -0.00*BSH + 0.01*BSD + -0.03*BSA + 0.02*RESULT,100.0,99.98,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.5259445469639505
MLPerc_firstTry_droppedMeaningless_StandardScaler,,100.0,99.96,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.4587692589904033
RandomForest_firstTry_droppedMeaningless_StandardScaler,,99.97,98.0,0.9994903678339464,"TN: 3704, FP: 0, FN: 4, TP: 4230",0.4734931592400561
xTrees_firstTry_droppedMeaningless_StandardScaler,,100.0,98.98,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.4553448810190143
logreg_firstTry_droppedMeaningless_StandardScaler_corr,RESULT = -1.12 + -0.01*league_id + -0.01*season + 0.49*stage + 0.01*date + -0.47*home_team_api_id + -0.00*away_team_api_id + -0.00*home_player_X1 + 0.00*home_player_X2 + -0.01*home_player_X3 + 0.00*home_player_X4 + 0.01*home_player_X5 + 0.03*home_player_X6 + 0.14*home_player_X7 + 0.12*home_player_X8 + 0.10*home_player_X9 + 0.17*home_player_X10 + 0.19*home_player_X11 + 0.21*away_player_X1 + 0.00*away_player_X2 + 0.01*away_player_X3 + -0.00*away_player_X4 + 0.02*away_player_X5 + 0.09*away_player_X6 + 0.05*away_player_X7 + -0.01*away_player_X8 + -0.02*away_player_X9 + -0.05*away_player_X10 + 0.01*away_player_X11 + 0.00*home_player_Y1 + 0.00*home_player_Y2 + 0.00*home_player_Y3 + -0.01*home_player_Y4 + -0.10*home_player_Y5 + -0.03*home_player_Y6 + 0.04*home_player_Y7 + 0.03*home_player_Y8 + -0.06*home_player_Y9 + -0.03*home_player_Y10 + 0.04*home_player_Y11 + 0.09*away_player_Y1 + 0.00*away_player_Y2 + 0.00*away_player_Y3 + 0.00*away_player_Y4 + 0.01*away_player_Y5 + 0.06*away_player_Y6 + 0.07*away_player_Y7 + 0.00*away_player_Y8 + -0.01*away_player_Y9 + -0.09*away_player_Y10 + 0.10*away_player_Y11 + 0.10*home_player_1 + -0.01*home_player_2 + 0.03*home_player_3 + -0.03*home_player_4 + 0.02*home_player_5 + 0.03*home_player_6 + -0.02*home_player_7 + -0.04*home_player_8 + 0.04*home_player_9 + -0.00*home_player_10 + 0.02*home_player_11 + 0.02*away_player_1 + -0.01*away_player_2 + -0.00*away_player_3 + -0.05*away_player_4 + 0.00*away_player_5 + -0.04*away_player_6 + 0.00*away_player_7 + -0.01*away_player_8 + -0.04*away_player_9 + 0.02*away_player_10 + -0.01*away_player_11 + 0.02*B365H + 0.36*B365D + -0.19*B365A + -0.31*BWH + 0.03*BWD + 0.01*BWA + 0.17*IWH + 0.10*IWD + -0.04*IWA + -0.01*LBH + 0.27*LBD + 0.02*LBA + 0.03*PSH + -0.53*PSD + 0.06*PSA + 0.09*WHH + -0.32*WHD + -0.10*WHA + 0.02*SJH + -0.19*SJD + 0.02*SJA + -0.16*VCH + 0.32*VCD + -0.04*VCA + 0.01*GBH + -0.10*GBD + -0.07*GBA + -0.27*BSH + -0.12*BSD + -0.01*BSA,53.57,51.89,-0.5115690045148893,"TN: 109, FP: 1008, FN: 72, TP: 2038",0.5259445469639505
DTree_firstTry_droppedMeaningless_StandardScaler_addedParams,,61.38,45.68,-0.2456429402681364,"TN: 1683, FP: 768, FN: 758, TP: 2404",0.4560088886240977
MLPerc_firstTry_droppedMeaningless_StandardScaler_addedParams,,99.99,41.57,0.9998980735667892,"TN: 3703, FP: 1, FN: 0, TP: 4234",0.4634243283230301
RandomForest_firstTry_droppedMeaningless_StandardScaler_addedParams,,100.0,51.81,1.0,"TN: 3704, FP: 0, FN: 0, TP: 4234",0.5266602541891456
xTrees_firstTry_droppedMeaningless_StandardScaler_addedParams,,82.83,52.34,0.454285876589837,"TN: 2409, FP: 350, FN: 3, TP: 3331",0.5280405830912323
logreg_balanced_firstTry_droppedMeaningless_StandardScaler_addedParams,RESULT = -0.85 + -0.01*league_id + -0.01*season + 0.54*stage + 0.02*date + -0.52*home_team_api_id + -0.01*away_team_api_id + -0.00*home_player_X1 + 0.00*home_player_X2 + -0.01*home_player_X3 + 0.00*home_player_X4 + 0.02*home_player_X5 + 0.03*home_player_X6 + 0.14*home_player_X7 + 0.12*home_player_X8 + 0.10*home_player_X9 + 0.17*home_player_X10 + 0.19*home_player_X11 + 0.21*away_player_X1 + 0.00*away_player_X2 + 0.01*away_player_X3 + -0.01*away_player_X4 + 0.02*away_player_X5 + 0.08*away_player_X6 + 0.05*away_player_X7 + -0.01*away_player_X8 + -0.03*away_player_X9 + -0.05*away_player_X10 + 0.00*away_player_X11 + 0.00*home_player_Y1 + 0.00*home_player_Y2 + 0.00*home_player_Y3 + -0.01*home_player_Y4 + -0.11*home_player_Y5 + -0.02*home_player_Y6 + 0.04*home_player_Y7 + 0.03*home_player_Y8 + -0.06*home_player_Y9 + -0.03*home_player_Y10 + 0.04*home_player_Y11 + 0.09*away_player_Y1 + 0.00*away_player_Y2 + 0.00*away_player_Y3 + 0.00*away_player_Y4 + 0.01*away_player_Y5 + 0.06*away_player_Y6 + 0.07*away_player_Y7 + 0.00*away_player_Y8 + -0.01*away_player_Y9 + -0.09*away_player_Y10 + 0.10*away_player_Y11 + 0.11*home_player_1 + -0.01*home_player_2 + 0.03*home_player_3 + -0.03*home_player_4 + 0.02*home_player_5 + 0.03*home_player_6 + -0.01*home_player_7 + -0.04*home_player_8 + 0.04*home_player_9 + -0.00*home_player_10 + 0.02*home_player_11 + 0.02*away_player_1 + -0.01*away_player_2 + -0.00*away_player_3 + -0.05*away_player_4 + 0.00*away_player_5 + -0.04*away_player_6 + 0.00*away_player_7 + -0.01*away_player_8 + -0.04*away_player_9 + 0.02*away_player_10 + -0.01*away_player_11 + 0.02*B365H + 0.37*B365D + -0.19*B365A + -0.32*BWH + 0.03*BWD + 0.01*BWA + 0.17*IWH + 0.10*IWD + -0.04*IWA + -0.01*LBH + 0.28*LBD + 0.02*LBA + 0.02*PSH + -0.54*PSD + 0.06*PSA + 0.09*WHH + -0.33*WHD + -0.10*WHA + 0.02*SJH + -0.19*SJD + 0.02*SJA + -0.16*VCH + 0.32*VCD + -0.04*VCA + 0.01*GBH + -0.10*GBD + -0.07*GBA + -0.27*BSH + -0.13*BSD + -0.01*BSA,51.68,50.13,-0.5593725016907143,"TN: 799, FP: 1161, FN: 677, TP: 2244",0.5049333353192677
RandomForest_droppedMeaningless_noScaler_addedParams_playerOverallRating,,100.0,53.19,1.0,"TN: 3533, FP: 0, FN: 0, TP: 3997",0.5258748380967383
